Procedure,Classification,Type,Category,Task Object,Value,Human Role,Autonomy Role,Information Requirement,Constraint Type,Time constraint (in s),Execution Type,interaction,Time to Initiate Action,Time after Ending Action,Callout
CREW BRIEFING,NORM,SOP,CRM,START,BRIEFING,performer,,,,,,,0,0,
CREW BRIEFING,NORM,SOP,CRM,Weather,BRIEF,performer,supporter,"METAR data, temperature, wind speed and direction, visibility, runway condition, icing risk.",,,,crew_briefing_weather,0,0,"Starting crew briefing - Weather: Temperature five degrees celsius, fog, reduced visibility expected. Wind one two zero degrees at four knots, light crosswind from the left for runway two four right. Runway dry, no contamination reported. No gusts, no thunderstorms, no wind shear reports."
CREW BRIEFING,NORM,SOP,CRM,Aircraft,BRIEF,performer,supporter,"Aircraft type, engine type, MEL status, takeoff configuration.",,,,crew_briefing_aircraft,0,0,"Aircraft: Cessna Citation Mustang, light twin engine jet. No MEL items, no tech log issues affecting departure."
CREW BRIEFING,NORM,SOP,CRM,NOTAMs,BRIEF,performer,supporter,"Active NOTAMs, runway status, navaid status, taxiway and lighting status.",,,,crew_briefing_notams,0,0,NOTAMs: No departure critical NOTAMs affecting runway two four right or initial climb. No reported navaid outages affecting departure routing. Taxiways and lighting operational.
CREW BRIEFING,NORM,SOP,CRM,Routing,BRIEF,performer,supporter,"Departure runway, initial heading, cleared altitude, waypoints, destination, engine-out plan.",,,,crew_briefing_routing,0,0,"Routing : Departure runway tow four right, montreal trudeau airport. Maintain runway heading after takeoff. Initial climb to five thousand feet. Waypoints BIRPO then left turn direct Ottawa Macdonald airport, plan arrival runway zero seven."
CREW BRIEFING,NORM,SOP,CRM,Automation,BRIEF,performer,supporter,"Takeoff mode, autopilot engagement altitude, speed and heading modes, navigation plan.",,,,crew_briefing_automation,0,0,"Automation: Manual takeoff. After safe altitude fifteen hundred feet A G L reached, autopilot can be engaged"
CREW BRIEFING,NORM,SOP,CRM,Miscellaneous,BRIEF,performer,supporter,"Passenger count, abnormality plan before and after V1, cabin brief status.",,,,crew_briefing_miscellaneous,0,0,"Miscellaneous briefing. Single passenger onboard. Abnormality plan, before V1 reject takeoff. After V1 continue, maintain single engine climb speed one hundred and twenty knots, climb to one thousand five hundred feet, then autopilot and handle checklists. Crew briefing completed."
BEFORE TAKEOFF,NORM,Checklist,Switch / Lever,Takeoff clearance,CONFIRM,performer,supporter,"ATC clearance status, checklist completion status.",,,,,0,0,"Cessna Charlie Papa Oscar Lima Yankee cleared for takeoff, will maintain runway heading, climb to five thousand feet."
BEFORE TAKEOFF,NORM,Checklist,Switch / Lever,FLAPS,SET FOR TAKEOFF,performer,supporter,"Flap handle position, takeoff configuration (15°).",,,,set_flaps_takeoff,0,0,Setting flaps for takeoff fifteen degrees
BEFORE TAKEOFF,NORM,Checklist,Switch / Lever,Pitot-Static Switch,PITOT-STATIC,performer,supporter,Pitot-static switch status,,,,pitot_static_switch,0,0,
BEFORE TAKEOFF,NORM,Checklist,Switch / Lever,ENGINE ANTI-ICE Switches,AS REQUIRED,performer,supporter,"Outside air temperature, engine anti-ice switch position.",,,,engine_anti_ice_requirement,0,0,
BEFORE TAKEOFF,NORM,Checklist,Switch / Lever,WINDSHIELD ANTI-ICE Switches,AS REQUIRED,performer,supporter,"Windshield anti-ice switch position, current weather conditions.",,,,windshield_anti_ice_requirement,0,0,
BEFORE TAKEOFF,NORM,Checklist,Switch / Lever,PAX SAFETY Switch,PAX SAFETY,performer,supporter,"PAX SAFETY switch position, checklist status.",,,,pax_safety_switch,0,0,
BEFORE TAKEOFF,NORM,Checklist,Switch / Lever,LANDING Light Switch,AS DESIRED,performer,supporter,"Current runway conditions, weather, and aircraft status.",,,,landing_light_as_required,0,0,
BEFORE TAKEOFF,NORM,Checklist,Switch / Lever,ANTI-COLL Light Switch,ON,performer,supporter,"ANTI-COLL light switch position, checklist status.",,,,anti_coll_light_switch,0,0,
BEFORE TAKEOFF,NORM,Checklist,Parameter Check,EICAS,CHECKED,performer,,EICAS visible,,,,,0,is_acked,
LINE-UP AND HOLD,NORM,SOP,Environment Check,Winds,CHECK,performer,supporter,"Wind speed, direction, runway alignment.",,,,display_winds_and_ack,0,0,"Wind report from METAR : wind calm, 120 degrees at 4 knots"
LINE-UP AND HOLD,NORM,SOP,Autopilot Mgmt,Select Altitude,PRESET AS CLEARED,supporter,performer,ATC clearance,,,,alt_preset_as_cleared,3,5,
TAKEOFF,NORM,Checklist,System Check,CAS,CHECK CLEAR,performer,,"CAS status, system alerts, checklist progress.",,,,,0,is_acked,
TAKEOFF,NORM,Checklist,Flight Control,THROTTLES,TO Detent,performer,supporter,"Throttle position, engine parameters, runway conditions.",,,,display_fadec,0,0,
TAKEOFF,NORM,Checklist,System Check,FADEC bug,CHECK TO,performer,supporter,"FADEC status, engine parameters, TARS action log.",,,,display_eng_spool_evenly,0,0,FADEC normal
TAKEOFF,NORM,Checklist,System Check,Engine spool,CHECK EVEN,performer,supporter,"Engine RPM, temperature, pressure, and spool rate.",,,,display_n1_matches_command_bug,0,0,
TAKEOFF,NORM,SOP,Callout,"""Airspeed's alive""",ANNOUNCE,,performer,"Current airspeed, runway conditions, aircraft weight.",,,,,0,0,Airspeed is alive
TAKEOFF,NORM,SOP,Callout,"""70 kts""",ANNOUNCE,,performer,"Airspeed, current phase of takeoff.",,,,,0,0,seventy knots
TAKEOFF,NORM,SOP,Callout,"""V1""",ANNOUNCE,,performer,"Current airspeed, runway length, aircraft weight, wind conditions.",,,,,0,0,V1
TAKEOFF,NORM,SOP,Callout,"""Rotate""",ANNOUNCE,,performer,"Airspeed, runway length, aircraft weight, wind conditions.",,,,,0,0,Rotate
TAKEOFF,NORM,Checklist,Flight Control,Pitch,MAINTAIN 10°,performer,supporter,"Current pitch angle, target pitch, airspeed, altitude.",,,,,0,0,
TAKEOFF,NORM,Checklist,Parameter Check,Climb rate,CHECK POSITIVE,performer,,"Current climb rate, target climb rate, altitude, airspeed.",,,,,0,1,
TAKEOFF,NORM,Checklist,Switch / Lever,LANDING GEAR,UP,performer,supporter,"Gear position, airspeed, altitude, climb rate.",,,,,0,0,Gear up
ENG FAILURE DURING TAKEOFF,EMER,Memory Item,Navigation,Climb,TO A SAFE ALTITUDE,performer,supporter,,,,,eng_failure_aft_v1_memo_items,0,0,Climb to {SAFE_ALTITUDE} aim for {V_ENR} knots
ENG FAILURE DURING TAKEOFF,EMER,SOP,Autopilot Mgmt,Flight Director,SET TO MODE,performer,supporter,"Current flight director mode, engine status, autopilot engagement.",,,,,0,0,"Flight director on, takeoff mode"
ENG FAILURE DURING TAKEOFF,EMER,Memory Item,Flight Control,Pitch,MAINTAIN 10°,performer,supporter,"Current pitch angle, engine status, autopilot engagement.",,,,eng_failure_aft_v1_memo_items,0,0,Maintain {TO_PITCH} degrees
ENG FAILURE DURING TAKEOFF,EMER,Memory Item,Switch / Lever,LANDING GEAR,UP,performer,supporter,"Engine status, gear position, airspeed, altitude.",,,,eng_failure_aft_v1_memo_items,0,0,
